Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (ZAR),Impressions,Impressions click-through rate (%)
Total,,,,1553718,97923.3272,11669,24168.706,12162327,6.11
e2R4Ata3GOc,How to calculate tax,"Nov 20, 2022",787,129381,8948.612,1177,3935.516,847740,9.98
hOGcXYTCbTY,"Maths Lit - Paper 1 Nov 2020 (Q3.1 - measurement, area & volume)","Jun 29, 2021",1048,76621,6227.8365,778,1394.912,524888,6.95
necXubNmr-U,Maths Lit - Paper 1 Nov 2019 (Q1.1 - finance),"Aug 9, 2020",631,74091,3463.1778,845,1298.255,394186,8.85
zXXI2D5Fmgk,"Maths Lit - Paper 2 Nov 2019 (Q1.1 - maps, speed & distance)","Aug 13, 2020",1464,69270,6832.5597,545,1255.24,424096,8.43
WK7sucxofmE,"Maths Lit - Paper 1 Nov 2020 (Q2.3 - income, expenses & break even)","Jun 29, 2021",492,60141,3460.3078,481,1096.856,463068,7.21
Vj1nbfNH_b0,Maths Core - Paper 2 Nov 2019 (Q3 - trig graphs & interpretation),"Nov 9, 2020",461,34657,1427.1707,262,526.043,204011,10.14
8F8tZ8bedwY,Maths Lit - Paper 2 Nov 2019 (Q1.2 - volume),"Aug 16, 2020",926,34009,3098.1895,205,637.158,245634,6.81
IJT8TEJOQKg,Maths Lit - Paper 1 Nov 2022 (Q1.1. - interpretation of basic financial data),"Jun 9, 2023",428,32332,1239.9356,212,461.283,164960,8.54
eCNvLLpLYj8,Maths Lit - Paper 1 Nov 2020 (Q1.1 - graph interpretation),"Jun 29, 2021",423,25455,1145.3538,246,518.028,151180,7.24
 -jUga0wsUz4,Maths Lit - Paper 1 Nov 2020 (Q2.1 - financial statement interpretation),"Jun 29, 2021",617,23259,1458.0281,168,359.79,168281,7.07
THvuHr3CJrs,"Maths Lit - Paper 2 Nov 2017 (Q1.1 - income, expenditure & profit)","Nov 12, 2020",558,19731,900.1278,126,328.199,125337,8.2
pBRjGf9tpA8,Maths Lit - Paper 1 Nov 19 (Q2.1 - tariffs),"Aug 9, 2020",859,17575,1583.429,94,220.888,120495,6.61
WU6iUHbe_f8,Maths Lit - Paper 1 Nov 2019 (Q1.2 - finance),"Aug 9, 2020",481,17514,1020.9264,107,181.949,108972,7.33
RcX1F1gIqOo,Maths Lit - Paper 1 Nov 2018 (Q4.1 - map interpretation; scale),"Oct 10, 2020",559,17479,960.8545,121,295.975,123968,7.35
